OBJECTID,* Damage,* Street Number,* Street Name,"* Street Type (e.g. road, drive, lane, etc.)",* City,State,Zip Code,* CAL FIRE Unit,County,Community,Incident Start Date,Hazard Type,Structure Defense Actions Taken,* Structure Type,Structure Category,# Units in Structure (if multi unit),* Roof Construction,* Eaves,* Vent Screen,* Exterior Siding,* Window Pane,* Deck/Porch On Grade,* Deck/Porch Elevated,* Patio Cover/Carport Attached to Structure,* Fence Attached to Structure,Distance - Propane Tank to Structure,Distance - Residence to Utility/Misc Structure &gt; 120 SQFT,Assessed Improved Value (parcel),Year Built (parcel),Site Address (parcel),Latitude,Longitude
1249,Destroyed (>50%),28615.0,North Highway 101,Other,Willits,CA,,MEU,Mendocino,Ryan Creek,9/7/2020 12:00:00 AM,Fire,Unknown,Utility Misc Structure,Other Minor Structure,,Unknown,No Eaves,No Vents,Wood,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,,,,,39.4837616666516,-123.360441583423
114904,No Damage,1534.0,Morada,Place,Altadena,CA,91001.0,LAC,Los Angeles,,1/7/2025 8:02:01 AM,Fire,Unknown,Utility Misc Structure,Other Minor Structure,0.0,Tile,No Eaves,No Vents,Stucco Brick Cement,Single Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,Combustible,,30-50',478038.0,,"1534 MORADA PL, ALTADENA, CA 91001",34.1790462,-118.1188477
33819,Destroyed (>50%),1852.0,Merrill,Road,Paradise Northeast B,CA,,BTU,Butte,Paradise,11/8/2018 12:00:00 AM,Fire,Unknown,Single Family Residence Single Story,Single Residence,,Asphalt,Enclosed,"Mesh Screen <= 1/8""""",Ignition Resistant,Multi Pane,Masonry/Concrete,Wood,Combustible,Combustible,,<30',82100.0,1977.0,1852  MERRILL RD   PARADISE CA 95969,39.7812289216077,-121.573906846489
49965,Destroyed (>50%),29685.0,Cuthbert,Road,Malibu,CA,,LAC,Los Angeles,Malibu,11/8/2018 12:00:00 AM,Fire,Unknown,Utility Misc Structure,Other Minor Structure,1.0,Metal,No Eaves,No Vents,Ignition Resistant,Unknown,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,>50',1003681.0,1978.0,29685 CUTHBERT RD MALIBU CA 90265,34.0340495064932,-118.820568324943
55152,No Damage,,,,Unincorporated,CA,,BTU,Butte,,11/8/2018 12:00:00 AM,Fire,,Single Family Residence Single Story,Single Residence,, , , , , , , , ,,,,259143.0,2000.0,3445 SUNVIEW DR PARADISE CA 95969,39.6769373587042,-121.571119137905
30010,Destroyed (>50%),1757.0,Whitiker,Road,Paradise Northeast B,CA,,BTU,Butte,Paradise,11/8/2018 12:00:00 AM,Fire,Unknown,Single Family Residence Single Story,Single Residence,,Asphalt,Enclosed,"Mesh Screen <= 1/8""""",Combustible,Multi Pane,Masonry/Concrete,No Deck/Porch,Combustible,No Fence,,<30',65436.0,1957.0,1757  WHITAKER RD   PARADISE CA 95969,39.7758946994867,-121.578293923689
7318,Destroyed (>50%),34337.0,Shaver Springs ,Road,,CA,0.0,FKU,Fresno,,9/4/2020 12:00:00 AM,Fire,,Utility Misc Structure,Other Minor Structure,0.0,Metal,No Eaves,No Vents,Wood,No Windows,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,,1833.0,0.0,   ,37.0493875280322,-119.367415101425
78745,No Damage,0.0,Stuart Gap,Road,Platina,CA,,TGU,Tehama,,7/29/2021 12:00:00 AM,Fire,Other,Utility Misc Structure,Other Minor Structure,,Unknown,Unknown,Unknown,Unknown,Unknown,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,,,,,40.2354906969161,-122.925658212109
98658,No Damage,39.0,Mt Baldy,Road,Mt Baldy,CA,91759.0,BDU,San Bernardino,,9/8/2024 12:00:00 AM,Fire,,Single Family Residence Single Story,Single Residence,0.0,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Wood,Multi Pane,Masonry/Concrete,No Deck/Porch,Combustible,Combustible,,,245000.0,1958.0,"39 MT BALDY RD, MT BALDY, CA 91759",34.2365539,-117.6590872
53781,No Damage,,,,Unincorporated,CA,,BTU,Butte,,11/8/2018 12:00:00 AM,Fire,,Single Family Residence Multi Story,Single Residence,, , , , , , , , ,,,,15000.0,0.0,4125 YELLOW WOOD RD OROVILLE CA 95965,39.7704191506451,-121.498951166755
35285,Destroyed (>50%),5428.0,S. Libby,Lane,Paradise Central Southeast B,CA,,BTU,Butte,Paradise ,11/8/2018 12:00:00 AM,Fire,,Utility Misc Structure,Other Minor Structure,,Asphalt,Unknown,No Vents,Combustible,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,,130463.0,1943.0,5428 S LIBBY RD   PARADISE CA 95969,39.7446939299903,-121.593123758862
85441,No Damage,1684.0,Pinebrook,Way,Greenville,CA,95947.0,LMU,Plumas,Greenville,7/13/2021 12:00:00 AM,Fire,,Single Family Residence Multi Story,Single Residence,0.0,Asphalt,Unenclosed,"Mesh Screen <= 1/8""""",Wood,Multi Pane,Composite,No Deck/Porch,Combustible,No Fence,,,,,1684 PINEBROOK WAY GREENVILLE CA 95947,40.160108960547,-120.965661525589
4611,Destroyed (>50%),0.0,Eckards,Lane,,CA,0.0,BTU,Butte,Berry Creek,9/9/2020 12:00:00 AM,Fire,,Motor Home,Single Residence,0.0,Other,No Eaves,No Vents,Other,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,0-10,,0.0,1900.0,"101 ECKARD'S LN, BERRY CREEK CA 95916",39.6252426666566,-121.326139216549
1682,Destroyed (>50%),11629.0,Juniper Hills,Road,,CA,,LAC,Los Angeles,,9/6/2020 12:00:00 AM,Fire,,Utility Misc Structure,Other Minor Structure,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,,87910.0,1953.0,11629 JUNIPER HILLS RD LITTLEROCK CA 93543,34.4306226800314,-117.92099929991
37748,Destroyed (>50%),4980.0,Malibu,Drive,Paradise Southeast B,CA,,BTU,Butte,Paradise,11/8/2018 12:00:00 AM,Fire,,Utility Misc Structure,Other Minor Structure,,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Ignition Resistant,Multi Pane,No Deck/Porch,No Deck/Porch,Combustible,No Fence,,,301213.0,1991.0,4980  MALIBU DR   PARADISE CA 95969,39.73094908588,-121.573542991968
64129,Destroyed (>50%),3794.0,Skyfarm,Drive,Santa Rosa,CA,0.0,LNU,Sonoma,Fountaingrove,10/8/2017 12:00:00 AM,Fire,,Single Family Residence Multi Story,Single Residence,,Fire Resistant,Enclosed,Screened,Fire Resistant,Multi Pane, , , ,,,,627214.0,,3794 SKYFARM DR SANTA ROSA CA 95403,38.4929545304943,-122.717253999741
