Unnamed: 0.1,Unnamed: 0,_Damage,_Street_Number,_Street_Name,_Street_Type_eg_road_drive_lane_etc,_City,_CAL_FIRE_Unit,Incident_Start_Date,_Structure_Type,Structure_Category,_Roof_Construction,_Eaves,_Vent_Screen,_Exterior_Siding,_Window_Pane,_DeckPorch_On_Grade,_DeckPorch_Elevated,_Patio_CoverCarport_Attached_to_Structure,_Fence_Attached_to_Structure,Assessed_Improved_Value_parcel,Year_Built_parcel,Latitude,Longitude
8907,8907,Destroyed (>50%),731.0,N Cloud,Drive,Paradise Central Southwest A,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,"Mesh Screen <= 1/8""""",Combustible,Single Pane,Masonry/Concrete,Wood,Combustible,No Fence,135735.0,1969.0,39.7479497978089,-121.622773430959
2836,2836,Destroyed (>50%),20175.0,Old Big Basin ,Road,Unknown,CZU,8/16/2020 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unenclosed,No Vents,Wood,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,281322.0,1990.0,37.1711855367418,-122.191645670211
7010,7010,Destroyed (>50%),3054.0,Olive View,Road,Alpine,MVU,7/6/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Tile,Unenclosed,"Mesh Screen > 1/8""""",Ignition Resistant,Multi Pane,Wood,No Deck/Porch,No Patio Cover/Carport,No Fence,365000.0,1973.0,32.8285716819909,-116.746458854493
7582,7582,No Damage,6004.0,Monticello ,Road,Unknown,LNU,8/16/2020 12:00:00 AM,Mobile Home Double Wide,Single Residence,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,Multi Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,987834.0,1966.0,38.4482966251865,-122.195877133153
8378,8378,Destroyed (>50%),3532.0,Flintwood ,Drive,Santa Rosa,LNU,10/8/2017 12:00:00 AM,Single Family Residence Single Story,Single Residence,Fire Resistant,Unenclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,Multi Pane, , , ,No Fence,171377.0,1966.0,38.4791203994467,-122.703227841439
2307,2307,No Damage,11600.0,Chalk Hill,Road,Unincorporated,LNU,10/23/2019 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,Multi Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,11896.0,1952.0,38.5876553843783,-122.73661332563
9963,9963,Destroyed (>50%),3655.0,Wallace ,Road,Unincorporated,LNU,10/8/2017 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Fire Resistant,Unenclosed,Screened,Fire Resistant,Multi Pane, , , ,No Fence,333348.0,1966.0,38.500536062868,-122.676117756956
7461,7461,Destroyed (>50%),16321.0,Pacific Coast,Highway,Pacific Palisades,LAC,1/7/2025 8:02:01 AM,Mobile Home Single Wide,Single Residence,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Metal,Single Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,60393.0,2003.0,34.0380095,-118.5381482
2783,2783,Destroyed (>50%),1117.0,E Mariposa,Street,Altadena,LAC,1/7/2025 8:02:01 AM,Single Family Residence Multi Story,Single Residence,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,Multi Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,Combustible,319051.0,1966.0,34.1888351,-118.1278124
3653,3653,Destroyed (>50%),8872.0,Quarterhorse,Lane,Lower Lake,LNU,8/13/2016 12:00:00 AM,Mobile Home Single Wide,Single Residence,Fire Resistant,Unenclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,Multi Pane, , , ,No Fence,33694.0,1966.0,38.9187535196436,-122.593609848102
488,488,Destroyed (>50%),159.0,W Las Flores,Drive,Altadena,LAC,1/7/2025 8:02:01 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,No Windows,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,Non Combustible,115225.0,1952.0,34.2005711,-118.1481871
4273,4273,Destroyed (>50%),900.0,Meadowood ,Lane,Unknown,LNU,9/27/2020 12:00:00 AM,Commercial Building Multi Story,Nonresidential Commercial,Asphalt,Unenclosed,"Mesh Screen <= 1/8""""",Wood,Multi Pane,Wood,Wood,No Patio Cover/Carport,No Fence,906828.0,1966.0,38.522402983838,-122.464462888324
8352,8352,No Damage,1362.0,Apache,Avenue,South Lake Tahoe,AEU,8/14/2021 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Wood,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,247854.0,1966.0,38.851316911505,-120.013296676949
2296,2296,Destroyed (>50%),12045.0,Seigler Canyon,Road,Middletown,LNU,9/12/2015 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,Multi Pane, , , ,No Fence,25743.0,1966.0,38.8663628695694,-122.678309797166
8281,8281,Destroyed (>50%),350.0,East Mountain,Drive,Unincorporated,SBC,12/4/2017 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Combustible,Unenclosed,"Mesh Screen > 1/8""""",Combustible,Multi Pane, , , ,No Fence,645117.0,2011.0,34.457251019719,-119.662884229658
2519,2519,Destroyed (>50%),20351.0,PINE CANYON,Road,LAKE HUGHES,LAC,8/12/2020 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,Multi Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,159866.0,1966.0,34.6976934276983,-118.504058998059
8921,8921,No Damage,119.0,Sycamore Valley,Road,Chico,BTU,7/24/2024 12:00:00 AM,Single Family Residence Single Story,Single Residence,Tile,Enclosed,No Vents,Stucco Brick Cement,Multi Pane,Wood,Masonry/Concrete,Non Combustible,Non Combustible,580996.0,2002.0,39.8475615,-121.8295801
253,253,Destroyed (>50%),5894.0,Bettencourt,Lane,Paradise Central Southeast A,BTU,11/8/2018 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Metal,Unenclosed,"Mesh Screen > 1/8""""",Combustible,Single Pane,No Deck/Porch,No Deck/Porch,Combustible,No Fence,66210.0,1966.0,39.7603070726861,-121.600482627414
8343,8343,No Damage,Unknown,Unknown,Unknown,Unincorporated,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence, , , , , , , , ,No Fence,72488.0,1980.0,39.8235031312385,-121.606091431367
1502,1502,No Damage,439.0,Paseo Miramar,Unknown,Pacific Palisades,LAC,1/7/2025 8:02:01 AM,Single Family Residence Multi Story,Single Residence,Tile,Enclosed,"Mesh Screen <= 1/8""""",Stucco Brick Cement,Single Pane,Masonry/Concrete,Masonry/Concrete,Non Combustible,Non Combustible,5258202.0,1928.0,34.0452835,-118.5557422
9076,9076,No Damage,7657.0,Highway 128,Unknown,Unincorporated,LNU,10/23/2019 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,Multi Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,749339.0,1960.0,38.6620276473615,-122.804305702286
3893,3893,No Damage,751.0,Greenville Wolf Creek,Road,Greenville,LMU,7/13/2021 12:00:00 AM,Multi Family Residence Single Story,Multiple Residence,Asphalt,Enclosed,"Mesh Screen <= 1/8""""",Vinyl,Multi Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,Non Combustible,159866.0,1966.0,40.1466034689639,-120.961661602513
9743,9743,Destroyed (>50%),490.0,Saticoy,Lane,Paradise Central Southwest B,BTU,11/8/2018 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Combustible,Single Pane,No Deck/Porch,No Deck/Porch,Combustible,Non Combustible,64911.0,1972.0,39.7379409489664,-121.63157857544
6329,6329,Destroyed (>50%),1124.0,Iliff,Street,Pacific Palisades,LAC,1/7/2025 8:02:01 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,Multi Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,Non Combustible,51338.0,1950.0,34.0502857,-118.5192644
5107,5107,Destroyed (>50%),5575.0,Feather River,Place,Paradise Southeast B,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Combustible,Multi Pane,Masonry/Concrete,No Deck/Porch,Combustible,No Fence,216383.0,1960.0,39.7496667216091,-121.570817500701
8014,8014,Destroyed (>50%),3771.0,Crown Hill,Drive,Santa Rosa,LNU,10/8/2017 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Fire Resistant,Unenclosed,Screened,Fire Resistant,Multi Pane, , , ,No Fence,690718.0,1966.0,38.4874186565476,-122.699582274997
2355,2355,Destroyed (>50%),1680.0,Young,Avenue,Paradise Southeast A,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Combustible,Single Pane,Wood,Wood,No Patio Cover/Carport,Combustible,82452.0,1974.0,39.7665732088154,-121.581291864998
3312,3312,Destroyed (>50%),5850.0,Sawmill ,Road,Paradise Southeast A,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Wood,Unenclosed,"Mesh Screen <= 1/8""""",Combustible,Multi Pane,Masonry/Concrete,Masonry/Concrete,Combustible,No Fence,97368.0,1966.0,39.7590350505253,-121.588702442375
7802,7802,Destroyed (>50%),1450.0,Sleepy Hollow ,Lane,Paradise Central Southeast A,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Enclosed,"Mesh Screen > 1/8""""",Combustible,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,Non Combustible,150879.0,2005.0,39.761961110872,-121.591462597832
4938,4938,Destroyed (>50%),7075.0,Clark,Road,Paradise Northwest A,BTU,11/8/2018 12:00:00 AM,Mobile Home Double Wide,Single Residence,Asphalt,No Eaves,"Mesh Screen > 1/8""""",Combustible,Single Pane,Masonry/Concrete,No Deck/Porch,Combustible,No Fence,1412010.0,1900.0,39.7919247449716,-121.587128063991
3470,3470,Destroyed (>50%),1690.0,Gate,Lane,Paradise Northeast A,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,"Mesh Screen <= 1/8""""",Combustible,Single Pane,Wood,Wood,Combustible,No Fence,132112.0,1981.0,39.7970146169192,-121.580294766474
